Številka instance, Številka naloge, Status naloge, Ime koraka, Čas prejema, Čas začetka, Čas zaključka, Tip prejemnika, Prejemnik, Je nujno, Stranka ime, Stranka ulica, Stranka kraj, Stranka telefon, Stranka e-pošta, Znesek naročila, Znesek dostave, Znesek skupaj, Razdalja, Naročena pizza 1, Naročena pizza 2, Naročena pizza 3, Naročena pizza 4, Naročena pizza 5, Naročena pizza 6, Naročena pizza 7, Naročena pizza 8
1, 1, Zaključena, Naročilo, 12/01/2017 11:00:12, 12/01/2017 11:00:12, 12/01/2017 11:00:12, Uporabnik, Berta Potočnik, DA, Kristjan Sitar, ULICA BRATOV UČAKAR 96, 1000 Ljubljana, 044 481 189, kristjan.sitar@pizza.si, 67.70, 2.00, 69.70, 6.60, KULEN [pelati|sir|hrenovka|kulen pikant salama], PRIMORSKA [pelati|sir|gobe|pršut|oliva], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], MORNAR [pelati|mozzarela|morski sadeži|dagnje], DOMAČA [pelati|sir|gobe|jajce|domača salama], , 
1, 2, Zaključena, Priprava, 12/01/2017 11:00:12, 12/01/2017 11:00:12, 12/01/2017 11:03:11, Uporabnik, Peter Mlakar, DA, Kristjan Sitar, ULICA BRATOV UČAKAR 96, 1000 Ljubljana, 044 481 189, kristjan.sitar@pizza.si, 67.70, 2.00, 69.70, 6.60, KULEN [pelati|sir|hrenovka|kulen pikant salama], PRIMORSKA [pelati|sir|gobe|pršut|oliva], GRUNTARSKA [pelati|sir|kulen salama|gobe|tržaška omaka], VEGI NACHO [pelati|sir|sveži paradižnik|pečena paprika|nacho sir|oliva], MORNAR [pelati|mozzarela|morski sadeži|dagnje], DOMAČA [pelati|sir|gobe|jajce|domača salama], , 
2, 1, Zaključena, Naročilo, 12/01/2017 11:00:56, 12/01/2017 11:00:56, 12/01/2017 11:00:56, Uporabnik, Janez Novak, DA, Joško Žagar, V MURGLAH 249, 1000 Ljubljana, 044 688 873, josko.zagar@pizza.si, 20.80, 2.00, 22.80, , RAGU PIZZA [pelati|sir|ragu omaka|čebula|parmezan], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
2, 2, Zaključena, Priprava, 12/01/2017 11:00:56, 12/01/2017 11:00:56, 12/01/2017 11:02:03, Uporabnik, Katarina Jenko, DA, Joško Žagar, V MURGLAH 249, 1000 Ljubljana, 044 688 873, josko.zagar@pizza.si, 20.80, 2.00, 22.80, , RAGU PIZZA [pelati|sir|ragu omaka|čebula|parmezan], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
3, 1, Zaključena, Naročilo, 12/01/2017 11:01:04, 12/01/2017 11:01:04, 12/01/2017 11:01:04, Uporabnik, Janez Novak, NE, Vincenc Gorenc, ULICA BRATOV UČAKAR 16, 1000 Ljubljana, 044 278 169, vincenc.gorenc@pizza.si, 19.10, 0.00, 19.10, , PEKOČA [pelati|mozzarela|pečena kulen salama|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], , , , , , 
3, 2, Zaključena, Počakaj, 12/01/2017 11:01:04, 12/01/2017 11:01:04, 12/01/2017 11:11:04, Sistem, , NE, Vincenc Gorenc, ULICA BRATOV UČAKAR 16, 1000 Ljubljana, 044 278 169, vincenc.gorenc@pizza.si, 19.10, 0.00, 19.10, , PEKOČA [pelati|mozzarela|pečena kulen salama|feferoni], PIZZA S HRENOVKO [pelati|sir|hrenovka|jajce], , , , , , 
4, 1, Zaključena, Naročilo, 12/01/2017 11:01:25, 12/01/2017 11:01:25, 12/01/2017 11:01:25, Uporabnik, Janez Novak, NE, Štefanija Žižek, PETERNELOVA ULICA 2, 1000 Ljubljana, 044 410 703, stefanija.zizek@pizza.si, 21.00, 0.00, 21.00, 7.25, KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], , , , , , 
4, 2, Zaključena, Počakaj, 12/01/2017 11:01:25, 12/01/2017 11:01:25, 12/01/2017 11:11:25, Sistem, , NE, Štefanija Žižek, PETERNELOVA ULICA 2, 1000 Ljubljana, 044 410 703, stefanija.zizek@pizza.si, 21.00, 0.00, 21.00, 7.25, KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], KMEČKA [pelati|sir|klobasa|čebula|ajvar|suha salama], , , , , , 
2, 3, Zaključena, Pečenje, 12/01/2017 11:02:03, 12/01/2017 11:02:03, 12/01/2017 11:08:03, Uporabnik, Karmen Prevec, DA, Joško Žagar, V MURGLAH 249, 1000 Ljubljana, 044 688 873, josko.zagar@pizza.si, 20.80, 2.00, 22.80, , RAGU PIZZA [pelati|sir|ragu omaka|čebula|parmezan], PIZZA MEDITERANA S TARTUFI [pelati|mozzarela|pečen pršut|rukola|tartufata|parmezan], , , , , , 
5, 1, Zaključena, Naročilo, 12/01/2017 11:02:31, 12/01/2017 11:02:31, 12/01/2017 11:02:31, Uporabnik, Janez Novak, NE, Jošt Maček, VILHARJEVA CESTA 21, 1000 Ljubljana, 044 294 202, jost.macek@pizza.si, 17.80, 0.00, 17.80, , MARGERITA [pelati|sir|oliva], DOLENJSKA [pelati|sir|pečena slanina|artičoke|beluši], , , , , , 
